cluster,n,falencia_normal_rate,falencia_45_rate,falencia_60_rate,mortality_rate,dataset
0,12578,0.43687390682143423,0.4282079821911274,0.42407377961520115,0.07338209572269042,mimic
1,15914,0.24255372627874827,0.23539022244564534,0.23168279502324998,0.051903983913535255,mimic
2,30687,0.32055919444716,0.3135529703131619,0.30947958418874444,0.05041222667579105,mimic
3,13401,0.15282441608835162,0.14812327438250877,0.14775016789791806,0.1343929557495709,mimic
