source_file,cluster,cluster_eicu,cluster_mimic,cosine_sim,dataset_eicu,dataset_mimic,distance,distance_outcome,eicu_cluster,eicu_falencia45,eicu_falencia_normal,eicu_falencia_rate,eicu_mortality,eicu_mortality_rate,eicu_n,falencia_45_rate_eicu,falencia_45_rate_mimic,falencia_60_rate_eicu,falencia_60_rate_mimic,falencia_eicu,falencia_mimic,falencia_normal_rate_eicu,falencia_normal_rate_mimic,feature,glucose_cumul_eicu,glucose_cumul_mimic,glucose_cumul_p25_eicu,glucose_cumul_p25_mimic,glucose_cumul_p50_eicu,glucose_cumul_p50_mimic,glucose_cumul_p75_eicu,glucose_cumul_p75_mimic,glucose_cumul_p90_eicu,glucose_cumul_p90_mimic,glucose_cumul_p99_eicu,glucose_cumul_p99_mimic,glucose_instab_eicu,glucose_instab_mimic,glucose_instab_p25_eicu,glucose_instab_p25_mimic,glucose_instab_p50_eicu,glucose_instab_p50_mimic,glucose_instab_p75_eicu,glucose_instab_p75_mimic,glucose_instab_p90_eicu,glucose_instab_p90_mimic,glucose_instab_p99_eicu,glucose_instab_p99_mimic,glucose_intens_eicu,glucose_intens_mimic,glucose_intens_p25_eicu,glucose_intens_p25_mimic,glucose_intens_p50_eicu,glucose_intens_p50_mimic,glucose_intens_p75_eicu,glucose_intens_p75_mimic,glucose_intens_p90_eicu,glucose_intens_p90_mimic,glucose_intens_p99_eicu,glucose_intens_p99_mimic,max_glucose_eicu,max_glucose_mimic,max_glucose_p25_eicu,max_glucose_p25_mimic,max_glucose_p50_eicu,max_glucose_p50_mimic,max_glucose_p75_eicu,max_glucose_p75_mimic,max_glucose_p90_eicu,max_glucose_p90_mimic,max_glucose_p99_eicu,max_glucose_p99_mimic,mean_abs_diff,mean_glucose_eicu,mean_glucose_mimic,mean_glucose_p25_eicu,mean_glucose_p25_mimic,mean_glucose_p50_eicu,mean_glucose_p50_mimic,mean_glucose_p75_eicu,mean_glucose_p75_mimic,mean_glucose_p90_eicu,mean_glucose_p90_mimic,mean_glucose_p99_eicu,mean_glucose_p99_mimic,mimic_best_cluster,mimic_cluster,mimic_falencia45,mimic_falencia_45_rate,mimic_falencia_normal,mimic_mortality,mimic_mortality_rate,mimic_n,min_glucose_eicu,min_glucose_mimic,min_glucose_p25_eicu,min_glucose_p25_mimic,min_glucose_p50_eicu,min_glucose_p50_mimic,min_glucose_p75_eicu,min_glucose_p75_mimic,min_glucose_p90_eicu,min_glucose_p90_mimic,min_glucose_p99_eicu,min_glucose_p99_mimic,mortality_eicu,mortality_mimic,mortality_rate_eicu,mortality_rate_mimic,n_eicu,n_meas_glucose_eicu,n_meas_glucose_mimic,n_meas_glucose_p25_eicu,n_meas_glucose_p25_mimic,n_meas_glucose_p50_eicu,n_meas_glucose_p50_mimic,n_meas_glucose_p75_eicu,n_meas_glucose_p75_mimic,n_meas_glucose_p90_eicu,n_meas_glucose_p90_mimic,n_meas_glucose_p99_eicu,n_meas_glucose_p99_mimic,n_mimic
results_compare_k4_eicu_vs_mimic_outcomes.csv,,,,,,,,0.0627316565989456,2.0,,,0.1746479962865542,,0.067576976636237,51704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.2353902224456453,,,0.0519039839135352,15914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_eicu_vs_mimic_outcomes.csv,,,,,,,,0.0157030750157491,3.0,,,0.2510694496282047,,0.0527690850104791,34831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.2353902224456453,,,0.0519039839135352,15914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_eicu_vs_mimic_outcomes_allfal.csv,0.0,,,,eICU,MIMIC,,,,,,,,,,0.0519665813549848,0.4282079821911274,0.0519077457123525,0.4240737796152011,,,0.1033742241049627,0.8320877723008427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133468655311387,0.0733820957226904,67986.0,,,,,,,,,,,,,12578.0
results_compare_k4_eicu_vs_mimic_outcomes_allfal.csv,1.0,,,,eICU,MIMIC,,,,,,,,,,0.1494604405987369,0.2353902224456453,0.1474215525386643,0.2316827950232499,,,0.3054602416828286,0.7266557747894935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1095032075190213,0.0519039839135352,40218.0,,,,,,,,,,,,,15914.0
results_compare_k4_eicu_vs_mimic_outcomes_allfal.csv,2.0,,,,eICU,MIMIC,,,,,,,,,,0.0497447006034349,0.3135529703131619,0.0491838155655268,0.3094795841887444,,,0.1335293207488782,0.8160458826213054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067576976636237,0.050412226675791,51704.0,,,,,,,,,,,,,30687.0
results_compare_k4_eicu_vs_mimic_outcomes_allfal.csv,3.0,,,,eICU,MIMIC,,,,,,,,,,0.0370933938158536,0.1481232743825087,0.0360598317590652,0.147750167897918,,,0.1905773592489449,0.594582493843743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0527690850104791,0.1343929557495709,34831.0,,,,,,,,,,,,,13401.0
results_compare_k4_match_by_45min.csv,,,,,,,0.0984329595586348,,0.0,0.0519665813549848,,,0.1133468655311387,,67986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.1481232743825087,,,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_match_by_45min.csv,,,,,,,0.0249256410242538,,1.0,0.1494604405987369,,,0.1095032075190213,,40218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.1481232743825087,,,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_match_by_45min.csv,,,,,,,0.1189231636128056,,2.0,0.0497447006034349,,,0.067576976636237,,51704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.1481232743825087,,,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results_compare_k4_match_by_45min.csv,,,,,,,0.1378045378537211,,3.0,0.0370933938158536,,,0.0527690850104791,,34831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.1481232743825087,,,0.1343929557495709,,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
